set_id,sent,pos,dict_text,wn-pos,PosScore,NegScore,SynsetTerms,Gloss
358,z,NP,September,n,0,0,september#1 sept#1 sep#1,the month following August and preceding October
359,z,VB,boo,v,0,0,hiss#4 boo#1,"show displeasure, as after a performance or speech"
360,z,NNP,romeo,n,0,0,romeo#1,an ardent male lover
360,z,NN,dog,n,0,0,domestic_dog#1 dog#1 canis_familiaris#1,"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"""
361,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
361,n,NN,ms,n,0,0.125,multiple_sclerosis#1 ms#1 disseminated_sclerosis#1 disseminated_multiple_sclerosis#1,a chronic progressive nervous disorder involving loss of myelin sheath around certain nerve fibers
361,z,NN,fly,n,0.25,0.25,fly#1,two-winged insects characterized by active flight
362,NULL,NNP,christine,NULL,NULL,NULL,NULL,NULL
363,NULL,IN,of,NULL,NULL,NULL,NULL,NULL
363,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
363,NULL,NN,nha,NULL,NULL,NULL,NULL,NULL
364,z,JJ,hot,a,0,0,hot#1,"used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning; ""hot stove""; ""hot water""; ""a hot August day""; ""a hot stuffy room""; ""she's hot and tired""; ""a hot forehead"""
364,z,NN,ass,n,0,0,tush#1 tooshie#1 tail_end#3 tail#4 stern#3 seat#2 rump#3 rear_end#1 rear#4 prat#1 posterior#1 nates#1 keister#1 hindquarters#1 hind_end#1 fundament#2 fanny#1 derriere#1 can#4 buttocks#1 butt#4 buns#1 bum#4 bottom#3 behind#1 backside#2 ass#1 arse#1,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?"""
365,z,NN,Ala,n,0,0,ala#1,"a flat wing-shaped process or winglike part of an organism; ""the alae of the nose""; ""the alae of a maple seed""; ""the flat petals of a pea blossom are alae"""
365,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
365,z,VB,nab,v,0,0,nab#1,tag the base runner to get him out
366,NULL,NNP,cal,NULL,NULL,NULL,NULL,NULL
366,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
367,NULL,NNP,dave,NULL,NULL,NULL,NULL,NULL
367,n,NNP,ed,n,0,0.5,male_erecticle_dysfunction#1 erectile_dysfunction#1 ed#1,impotence resulting from a man's inability to have or maintain an erection of his penis
368,z,UH,oh,n,0,0,ohio#1 oh#1 buckeye_state#1,a midwestern state in north central United States in the Great Lakes region
369,NULL,KK,Casio,NULL,NULL,NULL,NULL,NULL
370,z,NNP,ali,n,0,0,muhammad_ali#2 cassius_marcellus_clay#1 cassius_clay#1 ali#1,United States prizefighter who won the world heavyweight championship three times (born in 1942)
370,NULL,KK,chik,NULL,NULL,NULL,NULL,NULL
371,z,NNP,sarah,n,0,0,sarah#1,(Old Testament) the wife of Abraham and mother of Isaac
371,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
372,n,NN,baby,n,0,0.375,infant#1 baby#1 babe#1,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
372,n,NN,baby,n,0,0.375,infant#1 baby#1 babe#1,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
373,NULL,JJ,cha,NULL,NULL,NULL,NULL,NULL
373,NULL,JJ,cha,NULL,NULL,NULL,NULL,NULL
374,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
375,z,NP-TL,Wisconsin,n,0,0,wisconsin_river#1 wisconsin#1,a tributary of the Mississippi River in Wisconsin
376,NULL,NNP,nelly,NULL,NULL,NULL,NULL,NULL
377,NULL,NN,ijma,NULL,NULL,NULL,NULL,NULL
377,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
378,z,NN,lake,n,0,0,lake#1,a body of (usually fresh) water surrounded by land
378,z,NN,view,n,0,0,view#1 position#3 perspective#1,"a way of regarding situations or topics etc.; ""consider what follows from the positivist view"""
379,z,NN,miller,n,0,0,miller#1 glenn_miller#1 alton_glenn_miller#1,United States bandleader of a popular big band (1909-1944)
380,NULL,NNP,florance,NULL,NULL,NULL,NULL,NULL
381,NULL,NN,soto,NULL,NULL,NULL,NULL,NULL
381,NULL,VB,fam,NULL,NULL,NULL,NULL,NULL
382,z,NNP,quincy,n,0,0,quincy#1 josiah_quincy#1,American patriot who presented the colonists' grievances to the English king (1744-1775)
383,z,VB,sync,v,0,0,synchronize#1 synchronise#6 sync#1,"make synchronous and adjust in time or manner; ""Let's synchronize our efforts"""
384,NULL,NNP,bella,NULL,NULL,NULL,NULL,NULL
384,NULL,NN,babi,NULL,NULL,NULL,NULL,NULL
385,NULL,VB,tigger,NULL,NULL,NULL,NULL,NULL
386,z,NN,abbey,n,0,0,abbey#1,a church associated with a monastery or convent
387,NULL,JJ,mossy,NULL,NULL,NULL,NULL,NULL
388,z,NN,dance,n,0,0,dance#1,an artistic form of nonverbal communication
389,n,JJ,bad,a,0,0.625,bad#1,"having undesirable or negative qualities; ""a bad report card""; ""his sloppy appearance made a bad impression""; ""a bad little boy""; ""clothes in bad shape""; ""a bad cut""; ""bad luck""; ""the news was very bad""; ""the reviews were bad""; ""the pay is bad""; ""it was a bad light for reading""; ""the movie was a bad choice"""
389,z,NN,girl,n,0,0,young_woman#1 young_lady#1 missy#1 miss#1 girl#1 fille#1,"a young woman; ""a young lady of 18"""
390,z,NNP,allen,n,0,0,gracie_allen#1 gracie#1 grace_ethel_cecile_rosalie_allen#1 allen#1,"United States comedienne remembered as the confused but imperturbable partner of her husband, George Burns (1906-1964)"
391,p,NN,blade,n,0.25,0,leaf_blade#1 blade#1,especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
392,z,NNP,benjamin,n,0,0,gum_benzoin#1 gum_benjamin#1 benzoin#1 benjamin#1 asa_dulcis#1,gum resin used especially in treating skin irritation
393,p,JJ,sexy,a,0.625,0,sexy#1,"marked by or tending to arouse sexual desire or interest; ""feeling sexy""; ""sexy clothes""; ""sexy poses""; ""a sexy book""; ""sexy jokes"""
394,NULL,JJ,fluffy,NULL,NULL,NULL,NULL,NULL
395,z,NN,polo,n,0,0,polo#1 marco_polo#1,Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
396,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
396,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
396,NULL,PPSS,you,NULL,NULL,NULL,NULL,NULL
397,n,NN,loser,n,0,0.375,loser#1 also-ran#1,a contestant who loses the contest
398,z,NNP,meg,n,0,0,one_thousand_thousand#1 million#1 meg#1 1000000#1,the number that is represented as a one followed by 6 zeros
398,z,NN,cabot,n,0,0,sebastian_cabot#1 cabot#1,son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557)
399,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
399,n,NN,heart,n,0,0.125,heart#1 bosom#5,"the locus of feelings and intuitions; ""in your heart you know it is true""; ""her story would melt your bosom"""
400,NULL,NN,bry,NULL,NULL,NULL,NULL,NULL
401,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
401,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
401,NULL,PPSS,you,NULL,NULL,NULL,NULL,NULL
402,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
402,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
403,z,NN,apple,n,0,0,apple#1,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
403,z,NN,kiwi,n,0,0,kiwi_vine#1 kiwi#1 chinese_gooseberry#1 actinidia_deliciosa#1 actinidia_chinensis#1,climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat
404,z,RB,forever,r,0.125,0.125,forever#1 evermore#2 everlastingly#1 eternally#1,"for a limitless time; ""no one can live forever""; ""brightly beams our Father's mercy from his lighthouse evermore""- P.P.Bliss"
405,NULL,NNP,dani,NULL,NULL,NULL,NULL,NULL
405,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
406,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
407,n,NN,bitch,n,0,0.75,bitch#1,"an unpleasant difficulty; ""this problem is a real bitch"""
408,z,NN,princess,n,0,0,princess#1,a female member of a royal family other than the queen (especially the daughter of a sovereign)
409,z,PP$,its,n,0,0,it#1 information_technology#1,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
409,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
410,z,VB,bulldog,v,0,0,bulldog#1,attack viciously and ferociously
411,p,VB,bear,v,0.125,0,bear#1,"have; ""bear a resemblance""; ""bear a signature"""
412,n,NN,madman,n,0,0.125,maniac#1 madman#1 lunatic#1,an insane person
413,NULL,JJ,muffy,NULL,NULL,NULL,NULL,NULL
414,z,NN,hair,n,0,0,hair#1,"a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss; ""he combed his hair""; ""each hair consists of layers of dead keratinized cells"""
414,z,NN,woman,n,0,0,woman#1 adult_female#1,"an adult female person (as opposed to a man); ""the woman kept house while the man hunted"""
415,p,VB,call,v,0.25,0,name#1 call#1,"assign a specified (usually proper) proper name to; ""They named their son David""; ""The new school was named after the famous Civil Rights leader"""
416,z,NNP,kris,n,0,0,kris#1 creese#1 crease#3,a Malayan dagger with a wavy blade
417,NULL,NNP,zachary,NULL,NULL,NULL,NULL,NULL
418,NULL,NN,hon,NULL,NULL,NULL,NULL,NULL
419,NULL,FW-NN,lex,NULL,NULL,NULL,NULL,NULL
420,z,NN,amor,n,0,0,cupid#1 amor#1,(Roman mythology) god of love; counterpart of Greek Eros
421,NULL,NN,wert,NULL,NULL,NULL,NULL,NULL
422,z,NN,butt,n,0,0,butt_end#1 butt#1,thick end of the handle
422,n,NN,sluts,n,0,0.75,trollop#1 slut#1 slovenly_woman#1 slattern#2,a dirty untidy woman
423,n,JJ,simple,a,0.125,0.375,simple#1,"having few parts; not complex or complicated or involved; ""a simple problem""; ""simple mechanisms""; ""a simple design""; ""a simple substance"""
423,z,NN,plan,n,0,0,programme#6 program#1 plan#1,"a series of steps to be carried out or goals to be accomplished; ""they drew up a six-step plan""; ""they discussed plans for a new bond issue"""
424,z,NN,aim,n,0,0,purpose#1 intention#1 intent#1 design#5 aim#1,"an anticipated outcome that is intended or that guides your planned actions; ""his intent was to provide a new translation""; ""good intentions are not enough""; ""it was created with the conscious aim of answering immediate needs""; ""he made no secret of his designs"""
425,NULL,NNP,steven,NULL,NULL,NULL,NULL,NULL
426,z,NN,boston,n,0,0,hub_of_the_universe#1 capital_of_massachusetts#1 boston#1 beantown#1 bean_town#1,state capital and largest city of Massachusetts; a major center for banking and financial services
427,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
427,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
427,z,NNP,mike,n,0,0,mike#1 microphone#1,device for converting sound waves into electrical energy
428,z,NN,porno,n,0,0,smut#5 pornography#1 porno#1 porn#1 erotica#1,creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
429,p,NN,peace,n,0.125,0,peace#1,the state prevailing during the absence of war
430,z,NNS,cookies,n,0,0,cooky#2 cookie#1 biscuit#2,any of various small flat sweet cakes (`biscuit' is the British term)
431,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
431,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
432,z,NN,snoopy,n,0,0,snoopy#1,a fictional beagle in a comic strip drawn by Charles Schulz
433,z,NN,lady,n,0,0,lady#1,"a polite name for any woman; ""a nice lady at the library helped me"""
433,z,IN,on,a,0,0,on#1,"in operation or operational; ""left the oven on""; ""the switch is in the on position"""
433,z,NN,top,n,0,0,top#1,"the upper part of anything; ""the mower cuts off the tops of the grass""; ""the title should be written at the top of the first page"""
434,z,NNP,salem,n,0,0,salem#1 capital_of_oregon#1,capital of the state of Oregon in the northwestern part of the state on the Willamette River
435,z,NNS,angels,n,0,0,angel#1,spiritual being attendant upon God
436,z,NNP,mickey,n,0,0,paddy#1 mickey#1 mick#1,(ethnic slur) offensive term for a person of Irish descent
437,z,NN,herb,n,0,0,herbaceous_plant#1 herb#1,a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
437,NULL,NN,ste,NULL,NULL,NULL,NULL,NULL
438,n,NN,baby,n,0,0.375,infant#1 baby#1 babe#1,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
439,NULL,NP,demarest,NULL,NULL,NULL,NULL,NULL
440,NULL,NN,jellybean,NULL,NULL,NULL,NULL,NULL
441,z,PPO,em,n,0,0,mutton_quad#1 em_quad#1 em#1,"a quad with a square body; ""since `em quad' is hard to distinguish from `en quad', printers sometimes called it a `mutton quad'"""
441,n,AT,an,n,0,0.125,associate_in_nursing#1 an#1,an associate degree in nursing
441,NULL,NP,gane,NULL,NULL,NULL,NULL,NULL
442,NULL,NNP,jennifer,NULL,NULL,NULL,NULL,NULL
443,z,NNP,mason,n,0,0,mason#1 george_mason#1,American Revolutionary leader from Virginia whose objections led to the drafting of the Bill of Rights (1725-1792)
444,z,NN,angel,n,0,0,angel#1,spiritual being attendant upon God
445,NULL,NNP,cally,NULL,NULL,NULL,NULL,NULL
445,z,NN,ohio,n,0,0,ohio#1 oh#1 buckeye_state#1,a midwestern state in north central United States in the Great Lakes region
446,NULL,JJ,chewy,NULL,NULL,NULL,NULL,NULL
447,z,NNP,bob,n,0,0,shilling#5 british_shilling#1 bob#1,a former monetary unit in Great Britain
447,NULL,NP,sie,NULL,NULL,NULL,NULL,NULL
448,NULL,KK,mobby,NULL,NULL,NULL,NULL,NULL
449,z,NNP,romeo,n,0,0,romeo#1,an ardent male lover
450,NULL,NN,terr,NULL,NULL,NULL,NULL,NULL
450,z,NN,ass,n,0,0,tush#1 tooshie#1 tail_end#3 tail#4 stern#3 seat#2 rump#3 rear_end#1 rear#4 prat#1 posterior#1 nates#1 keister#1 hindquarters#1 hind_end#1 fundament#2 fanny#1 derriere#1 can#4 buttocks#1 butt#4 buns#1 bum#4 bottom#3 behind#1 backside#2 ass#1 arse#1,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?"""
450,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
451,z,NNP,lind,n,0,0,swedish_nightingale#1 lind#1 jenny_lind#1,Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887)
451,NULL,NNP,lou,NULL,NULL,NULL,NULL,NULL
452,z,NN,sips,n,0,0,sip#1,a small drink
453,NULL,NP,baller,NULL,NULL,NULL,NULL,NULL
454,NULL,JJ,twiggy,NULL,NULL,NULL,NULL,NULL
455,z,NN,menthol,n,0,0,menthol#1,"a crystalline compound that has the cool and minty taste and odor that occurs naturally in peppermint oil; used as a flavoring and in medicine to relieve itching, pain, and nasal congestion"
456,NULL,KK,nguy,NULL,NULL,NULL,NULL,NULL
457,z,NN,frog,n,0,0,toad_frog#1 toad#1 salientian#1 frog#1 batrachian#1 anuran#1,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
457,NULL,NP,gie,NULL,NULL,NULL,NULL,NULL
458,NULL,NN,montcalm,NULL,NULL,NULL,NULL,NULL
459,z,NN,ladybug,n,0,0,ladybug#1 ladybird_beetle#1 ladybird#1 ladybeetle#1 lady_beetle#1,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests
460,z,NN,jello,n,0,0,jello#1 jell-o#1,fruit-flavored dessert (trade mark Jell-O) made from a commercially prepared gelatin powder
461,NULL,JJ,red,NULL,NULL,NULL,NULL,NULL
461,z,NN,bag,n,0,0,bag#1,"a flexible container with a single opening; ""he stuffed his laundry into a large bag"""
462,n,NN,baby,n,0,0.375,infant#1 baby#1 babe#1,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
462,z,NN,awl,n,0,0,awl#1,a pointed tool for marking surfaces or for punching small holes
463,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
463,z,NNP,isaac,n,0,0,isaac#1,(Old Testament) the second patriarch; son of Abraham and Sarah who was offered by Abraham as a sacrifice to God; father of Jacob and Esau
464,NULL,PPO,him,NULL,NULL,NULL,NULL,NULL
464,z,PP$,its,n,0,0,it#1 information_technology#1,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
465,z,NN,bell,n,0,0,bell#1,a hollow device made of metal that makes a ringing sound when struck
465,z,NNP,ana,n,0,0,ana#1,mother of the ancient Irish gods; sometimes identified with Danu
466,NULL,NNP,chris,NULL,NULL,NULL,NULL,NULL
467,NULL,NN,sia,NULL,NULL,NULL,NULL,NULL
467,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
467,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
468,NULL,JJ,lovely,NULL,NULL,NULL,NULL,NULL
469,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
469,z,NN,oven,n,0,0,oven#1,kitchen appliance used for baking or roasting
470,NULL,NNP,jeremy,NULL,NULL,NULL,NULL,NULL
471,z,NNS,bones,n,0,0,finger_cymbals#1 clappers#1 castanets#1 bones#1,a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance
472,NULL,NNP,jen,NULL,NULL,NULL,NULL,NULL
472,NULL,NNP,jeanne,NULL,NULL,NULL,NULL,NULL
473,NULL,NNP,justin,NULL,NULL,NULL,NULL,NULL
474,z,NN,change,n,0,0,modification#4 change#1 alteration#1,"an event that occurs when something passes from one state or phase to another; ""the change was intended to increase sales""; ""this storm is certainly a change for the worse""; ""the neighborhood had undergone few modifications since his last visit years ago"""
474,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
475,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
475,z,VB,sucks,v,0,0,suck#1,"draw into the mouth by creating a practical vacuum in the mouth; ""suck the poison from the place where the snake bit""; ""suck on a straw""; ""the baby sucked on the mother's breast"""
476,NULL,JJ,natty,NULL,NULL,NULL,NULL,NULL
477,z,NP,april,n,0,0,april#1 apr#1,the month following March and preceding May
478,n,NN,ms,n,0,0.125,multiple_sclerosis#1 ms#1 disseminated_sclerosis#1 disseminated_multiple_sclerosis#1,a chronic progressive nervous disorder involving loss of myelin sheath around certain nerve fibers
478,z,RB,ever,r,0,0,of_all_time#1 ever#1,"at any time; ""did you ever smoke?""; ""the best con man of all time"""
478,z,IN,in,n,0,0,inch#1 in#1,a unit of length equal to one twelfth of a foot
479,NULL,NN,burdette,NULL,NULL,NULL,NULL,NULL
480,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
480,n,NN,heart,n,0,0.125,heart#1 bosom#5,"the locus of feelings and intuitions; ""in your heart you know it is true""; ""her story would melt your bosom"""
481,z,NNP,calvin,n,0,0,melvin_calvin#1 calvin#1,United States chemist noted for discovering the series of chemical reactions in photosynthesis (1911-)
482,z,NN,password,n,0,0,word#9 watchword#2 password#1 parole#2 countersign#1,"a secret word or phrase known only to a restricted group; ""he forgot the password"""
483,NULL,NNP,steve,NULL,NULL,NULL,NULL,NULL
484,NULL,NNP,alexis,NULL,NULL,NULL,NULL,NULL
485,NULL,JJ,pink,NULL,NULL,NULL,NULL,NULL
486,z,NN,pigtails,n,0,0,pigtail#1,a plait of braided hair
487,p,VB,fuck,v,0.375,0.125,sleep_with#1 sleep_together#1 screw#1 roll_in_the_hay#1 make_out#6 make_love#1 love#4 lie_with#1 know#8 jazz#2 hump#2 have_sex#1 have_it_off#1 have_it_away#1 have_intercourse#1 have_a_go_at_it#1 get_laid#1 get_it_on#1 fuck#1 eff#1 do_it#1 bonk#1 bed#4 be_intimate#1 bang#5,"have sexual intercourse with; ""This student sleeps with everyone in her dorm""; ""Adam knew Eve""; ""Were you ever intimate with this man?"""
487,z,NNS,hoes,n,0,0,hoe#1,a tool with a flat blade attached at right angles to a long handle
488,z,NN,dreamer,n,0,0,dreamer#1,someone who is dreaming
489,z,NN,jacks,n,0,0,knucklebones#1 jackstones#2 jacks#1,a game in which jackstones are thrown and picked up in various groups between bounces of a small rubber ball
490,NULL,NN,cutie,NULL,NULL,NULL,NULL,NULL
491,NULL,KK,integ,NULL,NULL,NULL,NULL,NULL
491,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
492,z,NN,password,n,0,0,word#9 watchword#2 password#1 parole#2 countersign#1,"a secret word or phrase known only to a restricted group; ""he forgot the password"""
493,z,NN,iron,n,0,0,iron#1 fe#1 atomic_number_26#1,a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
493,z,NN,tree,n,0,0,tree#1,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
494,p,NN,sparkle,n,0.375,0,twinkle#2 sparkle#1 spark#2 light#11,"merriment expressed by a brightness or gleam or animation of countenance; ""he had a sparkle in his eye""; ""there's a perpetual twinkle in his eyes"""
495,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
496,n,NNS,chills,n,0.125,0.25,iciness#1 gelidity#1 chill#1,coldness due to a cold environment
497,NULL,NNP,emily,NULL,NULL,NULL,NULL,NULL
498,z,NN,dance,n,0,0,dance#1,an artistic form of nonverbal communication
498,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
499,NULL,NNP,gina,NULL,NULL,NULL,NULL,NULL
499,NULL,NP,barone,NULL,NULL,NULL,NULL,NULL
500,NULL,JJ,cherry,NULL,NULL,NULL,NULL,NULL
501,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
501,NULL,NN,ste,NULL,NULL,NULL,NULL,NULL
502,NULL,NNP,danielle,NULL,NULL,NULL,NULL,NULL
503,NULL,NNP,stephanie,NULL,NULL,NULL,NULL,NULL
504,NULL,NNP,ellen,NULL,NULL,NULL,NULL,NULL
505,n,NN,bitch,n,0,0.75,bitch#1,"an unpleasant difficulty; ""this problem is a real bitch"""
505,z,NN,ass,n,0,0,tush#1 tooshie#1 tail_end#3 tail#4 stern#3 seat#2 rump#3 rear_end#1 rear#4 prat#1 posterior#1 nates#1 keister#1 hindquarters#1 hind_end#1 fundament#2 fanny#1 derriere#1 can#4 buttocks#1 butt#4 buns#1 bum#4 bottom#3 behind#1 backside#2 ass#1 arse#1,"the fleshy part of the human body that you sit on; ""he deserves a good kick in the butt""; ""are you going to sit on your fanny and do nothing?"""
506,n,NN,bitch,n,0,0.75,bitch#1,"an unpleasant difficulty; ""this problem is a real bitch"""
507,NULL,JJ,crazy,NULL,NULL,NULL,NULL,NULL
508,NULL,NNP,nanci,NULL,NULL,NULL,NULL,NULL
509,z,NN,ale,n,0,0,ale#1,a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
509,NULL,NN,sia,NULL,NULL,NULL,NULL,NULL
510,n,NN,poop,n,0,0.25,turd#1 shite#1 shit#1 poop#1 dirt#3 crap#1,obscene terms for feces
510,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
511,NULL,NP,littell,NULL,NULL,NULL,NULL,NULL
512,z,NN,monday,n,0,0,monday#1 mon#1,the second day of the week; the first working day
513,NULL,JJ,sunny,NULL,NULL,NULL,NULL,NULL
514,z,NP,Colombia,n,0,0,republic_of_colombia#1 colombia#1,a republic in northwestern South America with a coastline on the Pacific Ocean and the Caribbean Sea; achieved independence from Spain in 1821 under the leadership of Simon Bolivar; Spanish is the official language
515,p,JJ,new,a,0.375,0,new#1,"not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered; ""a new law""; ""new cars""; ""a new comet""; ""a new friend""; ""a new year""; ""the New World"""
515,z,NN,york,n,0,0,york#1 house_of_york#1,the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose
